	name	race	sex
267	Bookish Boy	Hyur	Male
268	Boorish Fellow	Hyur	Male
269	Bored Alchemist	Hyur	Male
270	Bored Burgher	Hyur	Male
271	Bothered Beekeeper	Hyur	Male
272	Botulf	Hyur	Male
273	Bourgeois Merchant	Hyur	Male
274	Boy Thief	Hyur	Male
275	Boyle	Hyur	Male
276	Bran	Hyur	Male
277	Brass Blade (Downwind)	Hyur	Male
278	Brass Blade (For the Queen)	Hyur	Male
279	Brass Blade	Hyur	Male
280	Brass Blade (Survivor Rats)	Hyur	Male
281	Brass Blade Captain	Hyur	Male
282	Brass Blade Recruit	Hyur	Male
283	Brass Blade Runner	Hyur	Male
284	Brass Blade of the Gerbera	Hyur	Male
285	Bravehearted Boy	Hyur	Male
286	Brazen Wood Wailer	Hyur	Male
287	Bremondt	Hyur	Male
288	Brendt	Hyur	Male
289	Brennan	Hyur	Male
290	Brictt	Hyur	Male
291	Brien	Hyur	Male
292	Bright-eyed Boy	Hyur	Male
293	Brithael	Hyur	Male
294	Brooding Recruit	Hyur	Male
295	Bruce	Hyur	Male
296	Bruce the Big	Hyur	Male
297	Brume Rat	Hyur	Male
298	Brutish Memoriate	Hyur	Male
299	Bubbly Boy	Hyur	Male
300	Bugyosho Official	Hyur	Male
301	Buoyant Boy	Hyur	Male
302	Burly Brass Blade	Hyur	Male
303	Burly Man	Hyur	Male
304	Burly Researcher	Hyur	Male
305	Buscarron	Hyur	Male
306	Byakubu	Hyur	Male
307	Caeso	Hyur	Male
308	Calamity Salvager (Milvaneth Sacrarium)	Hyur	Male
309	Calm Youth	Hyur	Male
310	Captain Jacke	Hyur	Male
311	Captive Soul (B)	Hyur	Male
312	Captive Soul (Ballroom 1B)	Hyur	Male
313	Captive Soul (Ballroom 1G)	Hyur	Male
314	Captive Soul (Ballroom 1J)	Hyur	Male
315	Captive Soul (Ballroom 2B)	Hyur	Male
316	Captive Soul (Ballroom 2D)	Hyur	Male
317	Captive Soul (Ballroom 2L)	Hyur	Male
318	Captive Soul (Ballroom 3E)	Hyur	Male
319	Captive Soul (Ballroom 3F)	Hyur	Male
320	Captive Soul (Ballroom 3G)	Hyur	Male
321	Captive Soul (E)	Hyur	Male
322	Captured Flame Private	Hyur	Male
323	Captured Rose Knight	Hyur	Male
324	Captured Villager	Hyur	Male
325	Card Square Guide	Hyur	Male
326	Carefree Boy	Hyur	Male
327	Carefree Merchant	Hyur	Male
328	Careless Carrier	Hyur	Male
329	Careless Imperial	Hyur	Male
330	Carle	Hyur	Male
331	Carnifex	Hyur	Male
332	Cascadier Cadet	Hyur	Male
333	Cascadier Commissary	Hyur	Male
334	Cast-off Confederate	Hyur	Male
335	Catenaries Manager	Hyur	Male
336	Catguistl	Hyur	Male
337	Ceadda	Hyur	Male
338	Celestium Announcer	Hyur	Male
339	Celestium Attendant	Hyur	Male
340	Cenmin	Hyur	Male
341	Ceremony Usher	Hyur	Male
342	Cerigg	Hyur	Male
343	Charlet	Hyur	Male
344	Charlet's Uncle	Hyur	Male
345	Charlys	Hyur	Male
346	Chartain	Hyur	Male
347	Chatbert	Hyur	Male
348	Chathwick	Hyur	Male
349	Cheerful Chap	Hyur	Male
350	Cheerful Crafter	Hyur	Male
351	Cheery Guard	Hyur	Male
352	Cheery Villager	Hyur	Male
353	Chiseled Miner	Hyur	Male
354	Chocobokeep (Hidden Tear)	Hyur	Male
355	Chocobokeep (Ala Ghiri)	Hyur	Male
356	Chocobokeep (Bentbranch Meadows)	Hyur	Male
357	Chocobokeep (Buscarron's Druthers)	Hyur	Male
358	Chocobokeep (Camp Bluefog)	Hyur	Male
359	Chocobokeep (Camp Tranquil)	Hyur	Male
360	Chocobokeep (Fallgourd Float)	Hyur	Male
361	Chocobokeep (Fogfens)	Hyur	Male
362	Chocobokeep (Hatching Canal)	Hyur	Male
363	Chocobokeep (Little Ala Mhigo)	Hyur	Male
364	Chocobokeep (Night's Watch)	Hyur	Male
365	Chocobokeep (The Firkins)	Hyur	Male
366	Chocobokeep (Proud Creek)	Hyur	Male
367	Chocobokeep (Quarrymill)	Hyur	Male
368	Chocobokeep (Starfall)	Hyur	Male
369	Chocobokeep (The Ala Mhigan Quarter)	Hyur	Male
370	Chocobokeep (The Hawthorne Hut)	Hyur	Male
371	Chocobokeep (Unknown)	Hyur	Male
372	Cid	Hyur	Male
373	Cingur	Hyur	Male
374	Classy Citizen	Hyur	Male
375	Claudien (Eastern Thanalan)	Hyur	Male
376	Claudien (Labyrinthos)	Hyur	Male
377	Clem	Hyur	Male
378	Clifton	Hyur	Male
379	Clive	Hyur	Male
380	Clueless Crier	Hyur	Male
381	Coerthas Porter	Hyur	Male
382	Coffer & Coffin Heavy	Hyur	Male
383	Coliseum Usher	Hyur	Male
384	Collapsed Hyur	Hyur	Male
385	Colson	Hyur	Male
386	Company Assistant	Hyur	Male
387	Company Muscle	Hyur	Male
388	Company Musician	Hyur	Male
389	Company Thespian	Hyur	Male
390	Comphas	Hyur	Male
391	Composed Fisher	Hyur	Male
392	Concentrating Carl	Hyur	Male
393	Concerned Citizen	Hyur	Male
394	Confederate Shipwatch	Hyur	Male
395	Confederate Skipper	Hyur	Male
396	Confident Villager	Hyur	Male
397	Conmonoc	Hyur	Male
398	Conniving Ne'er-do-well	Hyur	Male
399	Conon	Hyur	Male
400	Conrad	Hyur	Male
401	Conradin	Hyur	Male
402	Conscientious Sekiseigumi	Hyur	Male
403	Consulate Guard	Hyur	Male
404	Contest Council Member	Hyur	Male
405	Continental Circus Publicist	Hyur	Male
406	Contingent Scout	Hyur	Male
407	Convalescent Guard	Hyur	Male
408	Cool-headed Highlander	Hyur	Male
409	Corgg	Hyur	Male
410	Cornell	Hyur	Male
411	Cornenne	Hyur	Male
412	Councillor Turstin	Hyur	Male
413	Courier Decoy	Hyur	Male
414	Cowardly Challenger	Hyur	Male
415	Crestfallen Merchant	Hyur	Male
416	Crispin	Hyur	Male
417	Cross Imperial	Hyur	Male
418	Crystal Brave	Hyur	Male
419	Crystal Quartermaster	Hyur	Male
420	Crystarium Gatekeep	Hyur	Male
421	Crystarium Guard	Hyur	Male
422	Crystarium Guardsman	Hyur	Male
423	Crystarium Medic	Hyur	Male
424	Crystarium Merchant	Hyur	Male
425	Crystarium Sentry	Hyur	Male
426	Crystarium Youth	Hyur	Male
427	Curt Captain	Hyur	Male
428	Curtis	Hyur	Male
429	Cutbert	Hyur	Male
430	Cuthbert	Hyur	Male
431	Cynical Soldier	Hyur	Male
432	Cynical Youth	Hyur	Male
433	Cyr	Hyur	Male
434	Daimbert	Hyur	Male
435	Dainty Demolisher Deckhand	Hyur	Male
436	Daitenya Master	Hyur	Male
437	Dalmascan Fusilier	Hyur	Male
438	Daluce	Hyur	Male
439	Danta	Hyur	Male
440	Danyell	Hyur	Male
441	Dapper Doman	Hyur	Male
442	Dark-spirited Invalid	Hyur	Male
443	Dark Stranger	Hyur	Male
444	Dauid	Hyur	Male
445	Davaaz	Hyur	Male
446	Davyd	Hyur	Male
447	Dead-eyed Miscreant	Hyur	Male
448	Deadpan Zombie	Hyur	Male
449	Death's Embrace Master	Hyur	Male
450	Deitrich	Hyur	Male
451	Delicate Doman	Hyur	Male
452	Delion	Hyur	Male
453	Delirious Youth	Hyur	Male
454	Delita Heiral	Hyur	Male
455	Denston	Hyur	Male
456	Denys	Hyur	Male
457	Dependable Temple Knight	Hyur	Male
458	Deryk	Hyur	Male
459	Desert Apothecary	Hyur	Male
460	Desperate Refugee	Hyur	Male
461	Despondent Engineer	Hyur	Male
462	Despondent Refugee	Hyur	Male
463	Despondent Villager	Hyur	Male
464	Detachment Private	Hyur	Male
465	Determined Boy	Hyur	Male
466	Determined Youth	Hyur	Male
467	Devious Miscreant	Hyur	Male
468	Devoted Dad	Hyur	Male
469	Devout Recruit	Hyur	Male
470	Dickon	Hyur	Male
471	Diggin	Hyur	Male
472	Diligent Worker	Hyur	Male
473	Diligent Youth	Hyur	Male
474	Discerning Brass Blade	Hyur	Male
475	Discerning Dandy	Hyur	Male
476	Discomposed Cataloger	Hyur	Male
477	Disconcerted Coachman	Hyur	Male
478	Disgruntled Merchant	Hyur	Male
479	Dismayed Sailor	Hyur	Male
480	Dismissive Fellow	Hyur	Male
481	Displaced Engineer	Hyur	Male
482	Disquieted Villager	Hyur	Male
483	Distraught Youth	Hyur	Male
484	Distressed Soldier	Hyur	Male
485	Djinabaha	Hyur	Male
486	Dob	Hyur	Male
487	Dobbin	Hyur	Male
488	Doga	Hyur	Male
489	Dolfin	Hyur	Male
490	Doma Jonin	Hyur	Male
491	Doman Attendant	Hyur	Male
492	Doman Delegate	Hyur	Male
493	Doman Elder	Hyur	Male
494	Doman Refugee	Hyur	Male
495	Doman Watch	Hyur	Male
496	Dour Villager	Hyur	Male
497	Doware	Hyur	Male
498	Draggle-tailed Refugee	Hyur	Male
499	Drake	Hyur	Male
500	Drery	Hyur	Male
501	Drest	Hyur	Male
502	Drogo	Hyur	Male
503	Drowsy Fisher	Hyur	Male
504	Droyn	Hyur	Male
505	Drusus mal Soranus	Hyur	Male
506	Dubious Individual	Hyur	Male
507	Dusty Merchant	Hyur	Male
508	Dying Guard	Hyur	Male
509	E-Sumi-Yan	Hyur	Male
510	E-Una-Kotor	Hyur	Male
511	Ea-Sura-Supin	Hyur	Male
512	Eadbert	Hyur	Male
513	Eaduuard	Hyur	Male
514	Eager Apprentice	Hyur	Male
515	Eager Conjurer	Hyur	Male
516	Ealdfrith	Hyur	Male
517	Ealdred	Hyur	Male
518	Ealdwine	Hyur	Male
519	Earnest Fisherman	Hyur	Male
520	Earnest Recruit	Hyur	Male
521	East Aldenard Trading Company Aide	Hyur	Male
522	East Aldenard Trading Company Assistant	Hyur	Male
523	East Aldenard Trading Company Merchant	Hyur	Male
524	Eddard	Hyur	Male
525	Edelstein	Hyur	Male
526	Edred	Hyur	Male
527	Edwyn	Hyur	Male
528	Eggsaminer (Intermediate)	Hyur	Male
529	Eginolf	Hyur	Male
530	Eidhart	Hyur	Male
531	Eisai	Hyur	Male
532	Elbert	Hyur	Male
533	Elderly Fisherman	Hyur	Male
534	Elderly Gentleman	Hyur	Male
535	Elderly Man of Palaka	Hyur	Male
536	Elderly Miner	Hyur	Male
537	Elderly Private	Hyur	Male
538	Eleazar	Hyur	Male
539	Elemental Reactor Operator	Hyur	Male
540	Elite Flyer	Hyur	Male
541	Elite Gladiator Trainer	Hyur	Male
542	Elmar	Hyur	Male
543	Eloin	Hyur	Male
544	Elured	Hyur	Male
545	Emaciated Refugee	Hyur	Male
546	Emanuel	Hyur	Male
547	Emond	Hyur	Male
548	Emont	Hyur	Male
549	Emory	Hyur	Male
550	Encampment Clothier & Tailor	Hyur	Male
551	Enclave Skiff Captain	Hyur	Male
552	Engerrand	Hyur	Male
553	Enion	Hyur	Male
554	Enraptured Crowd	Hyur	Male
555	Enraptured Spectator	Hyur	Male
556	Enthusiastic Eavesdropper	Hyur	Male
557	Enthusiastic Miner	Hyur	Male
558	Eral	Hyur	Male
559	Erart	Hyur	Male
560	Erasmus	Hyur	Male
561	Ercanbald	Hyur	Male
562	Erchebald	Hyur	Male
563	Erik	Hyur	Male
564	Erkenbaud	Hyur	Male
565	Ernold	Hyur	Male
566	Esdelot	Hyur	Male
567	Esmond	Hyur	Male
568	Esmour	Hyur	Male
569	Espan	Hyur	Male
570	Esteem	Hyur	Male
571	Estmund	Hyur	Male
572	Etgar	Hyur	Male
573	Ethelred	Hyur	Male
574	Eugene	Hyur	Male
575	Eulmoran Adjutant	Hyur	Male
576	Eulmoran Aristocrat	Hyur	Male
577	Eulmoran Soldier	Hyur	Male
578	Euphoric Youth	Hyur	Male
579	Eustace	Hyur	Male
580	Evrat	Hyur	Male
581	Ewmond	Hyur	Male
582	Exasperated Man	Hyur	Male
583	Exasperated Merchant	Hyur	Male
584	Excitable Citizen	Hyur	Male
585	Excitable Lad	Hyur	Male
586	Excitable Spectator	Hyur	Male
587	Excited Citizen	Hyur	Male
588	Exhausted Hyur	Hyur	Male
589	Expedition Artisan (Hydatos)	Hyur	Male
590	Expedition Artisan (Northpoint)	Hyur	Male
591	Expedition Artisan (Pyros)	Hyur	Male
592	Expedition Birdwatcher (Anemos)	Hyur	Male
593	Expedition Birdwatcher (Pagos)	Hyur	Male
594	Expedition Birdwatcher (Pyros)	Hyur	Male
595	Expedition Potwatch	Hyur	Male
596	Expedition Skywatcher	Hyur	Male
597	Expeditionary	Hyur	Male
598	Experimenting Alchemist	Hyur	Male
599	Exuberant Alchemist	Hyur	Male
600	Eylgar	Hyur	Male
601	Fabulously Foxed Fellow	Hyur	Male
602	Fahruvvet	Hyur	Male
603	Faint-hearted Recruit	Hyur	Male
604	Faire-goer	Hyur	Male
605	Falcon's Nest Elder	Hyur	Male
606	Falcon Porter	Hyur	Male
607	Falcon Porter (Crick)	Hyur	Male
608	Falconer	Hyur	Male
609	Fallgourd Hearer	Hyur	Male
610	Fandaniel	Hyur	Male
611	Far Eastern Elder	Hyur	Male
612	Far Eastern Onmyoji	Hyur	Male
613	Faramund	Hyur	Male
614	Farmer in Need	Hyur	Male
615	Farrimond	Hyur	Male
616	Fastred	Hyur	Male
617	Fatigued Conjurer	Hyur	Male
618	Fatigued Fellow	Hyur	Male
619	Fawkes	Hyur	Male
620	Fearful Citizen	Hyur	Male
621	Fearful Hyur	Hyur	Male
622	Fearful Man	Hyur	Male
623	Feline Fanatic	Hyur	Male
624	Ferry Skipper (Aleport Docks)	Hyur	Male
625	Ferry Skipper (Crescent Cove Docks)	Hyur	Male
626	Ferry Skipper (Lavender Beds Docks)	Hyur	Male
627	Ferry Skipper (Silver Bazaar Docks)	Hyur	Male
628	Festive Fisher	Hyur	Male
629	Festus	Hyur	Male
630	Fiebras	Hyur	Male
631	Fiery Recruit	Hyur	Male
632	Fiery Young Lad	Hyur	Male
633	Fighting Festival Announcer	Hyur	Male
634	Filthy Fellow	Hyur	Male
635	Fisherman	Hyur	Male
636	Flame Captain	Hyur	Male
637	Flame Courier	Hyur	Male
638	Flame Gladiator	Hyur	Male
639	Flame Herald	Hyur	Male
640	Flame Honor Guard	Hyur	Male
641	Flame Lieutenant	Hyur	Male
642	Flame Mage	Hyur	Male
643	Flame Officer (Best Served with Cold Steel)	Hyur	Male
644	Flame Officer (Send in the Armor)	Hyur	Male
645	Flame Officer (The Waking Sands)	Hyur	Male
646	Flame Officer (Unknown)	Hyur	Male
647	Flame Personnel Officer	Hyur	Male
648	Flame Private (2nd Male)	Hyur	Male
649	Flame Private (Goblet Exchange Subdivision)	Hyur	Male
650	Flame Private (Hunters and the Hunted)	Hyur	Male
651	Flame Private (MSQ)	Hyur	Male
652	Flame Private (Minotaur Malm)	Hyur	Male
653	Flame Private (Nald's Reflection)	Hyur	Male
654	Flame Private (Tempered, Tempered)	Hyur	Male
655	Flame Private (The Sepulchre)	Hyur	Male
656	Flame Private (Westward Bound)	Hyur	Male
657	Flame Private (Zanr'ak)	Hyur	Male
658	Flame Private Second Class	Hyur	Male
659	Flame Recruit (An Eye on the Inside) (Traitor) (page does not exist)	Hyur	Male
660	Flame Recruit (Drybone Hyur)	Hyur	Male
661	Flame Recruit (East Meets Worst)	Hyur	Male
662	Flame Recruit (Gross Encounters)	Hyur	Male
663	Flame Recruit (Just a Sip)	Hyur	Male
664	Flame Recruit (Taken Hyur Male)	Hyur	Male
665	Flame Recruit (Where the Heart Is)	Hyur	Male
666	Flame Runner	Hyur	Male
667	Flame Scout (A Blissful Arrival)	Hyur	Male
668	Flame Scout (An Inconvenient Truth)	Hyur	Male
669	Flame Scout (Run Like a Flame)	Hyur	Male
670	Flame Recruit (MSQ) (page does not exist)	Hyur	Male
671	Flame Sergeant (Lord of the Inferno)	Hyur	Male
672	Flame Sergeant (MSQ)	Hyur	Male
673	Flavius	Hyur	Male
674	Flea-bitten Scavenger	Hyur	Male
675	Fledgling Adventurer	Hyur	Male
676	Fledgling Fisherman	Hyur	Male
677	Flower Vendor	Hyur	Male
678	Flustered Attendant	Hyur	Male
679	Flustered Fellow	Hyur	Male
680	Flustered Fisher	Hyur	Male
681	Flustered Follower	Hyur	Male
682	Focused Confederate	Hyur	Male
683	Foolhardy Man	Hyur	Male
684	Fordola's Father	Hyur	Male
685	Foreign Levy Flyer	Hyur	Male
686	Forlorn Boy	Hyur	Male
687	Forlorn Fisherman	Hyur	Male
688	Forlorn Free Citizen	Hyur	Male
689	Former Company Hero	Hyur	Male
690	Former Immortal Flame	Hyur	Male
691	Former Imperial Conscript	Hyur	Male
692	Former Mayor	Hyur	Male
693	Former Nutkin	Hyur	Male
694	Formerly Conscripted Confederate	Hyur	Male
695	Forthright Farmer	Hyur	Male
696	Forthright Gatekeeper	Hyur	Male
697	Forthright Local Boy	Hyur	Male
698	Forthright Villager	Hyur	Male
699	Fortin	Hyur	Male
700	Forum Facilitator	Hyur	Male
701	Francis	Hyur	Male
702	Franz	Hyur	Male
703	Franz the Fair	Hyur	Male
704	Fraunk	Hyur	Male
705	Fray	Hyur	Male
706	Free Brigade Flyer	Hyur	Male
707	Free Citizen	Hyur	Male
708	Freezing Vagrant	Hyur	Male
709	Fresh-faced Man	Hyur	Male
710	Fresh-faced Student	Hyur	Male
711	Fresh Corpse	Hyur	Male
712	Freskin	Hyur	Male
713	Fridurih	Hyur	Male
714	Frightened Villager	Hyur	Male
715	Frightened Youth	Hyur	Male
716	Frontier Hand	Hyur	Male
717	Frontinus	Hyur	Male
718	Frost Fanatic	Hyur	Male
719	Fugetsu	Hyur	Male
720	Fukata	Hyur	Male
721	Fukudo	Hyur	Male
722	Furious Farmer	Hyur	Male
723	Furious Man	Hyur	Male
724	Furtive Former Imperial	Hyur	Male
725	Gadfrid	Hyur	Male
